Algoritmo,Tamanho do vetor,Tempo de execucao
Bubble Sort,10,0
Bubble Sort,20,0
Bubble Sort,30,0
Bubble Sort,40,0
Bubble Sort,50,0
Bubble Sort,60,0
Bubble Sort,70,0
Bubble Sort,80,0
Bubble Sort,90,0
Bubble Sort,100,0
Bubble Sort,200,0
Bubble Sort,300,0
Bubble Sort,400,0
Bubble Sort,500,0
Bubble Sort,600,0
Bubble Sort,700,0
Bubble Sort,800,0
Bubble Sort,900,0
Bubble Sort,1000,0
Bubble Sort,2000,11.000
Bubble Sort,3000,3.000
Bubble Sort,4000,17.000
Bubble Sort,5000,20.000
Bubble Sort,6000,29.000
Bubble Sort,7000,37.000
Bubble Sort,8000,49.000
Bubble Sort,9000,60.000
Bubble Sort,10000,84.000
Bubble Sort,20000,463.000
Bubble Sort,30000,1.166.000
Bubble Sort,40000,2.146.000
Bubble Sort,50000,3.397.000
Bubble Sort,60000,5.014.000
Bubble Sort,70000,6.887.000
Bubble Sort,80000,9.089.000
Bubble Sort,90000,11.590.000
Bubble Sort,100000,14.605.000
Bubble Sort,200000,59.668.000
Bubble Sort,300000,134.958.000
Bubble Sort,400000,235.210.000
Bubble Sort,500000,365.820.000
Bubble Sort,600000,520.259.000
Bubble Sort,700000,688.152.000
Bubble Sort,800000,901.304.000
Bubble Sort,900000,1.146.495.000
Bubble Sort,1000000,1.423.815.000
Selection Sort,10,0
Selection Sort,20,0
Selection Sort,30,0
Selection Sort,40,0
Selection Sort,50,0
Selection Sort,60,0
Selection Sort,70,0
Selection Sort,80,0
Selection Sort,90,0
Selection Sort,100,0
Selection Sort,200,0
Selection Sort,300,0
Selection Sort,400,0
Selection Sort,500,0
Selection Sort,600,0
Selection Sort,700,1.000
Selection Sort,800,0
Selection Sort,900,0
Selection Sort,1000,1.000
Selection Sort,2000,1.000
Selection Sort,3000,3.000
Selection Sort,4000,5.000
Selection Sort,5000,8.000
Selection Sort,6000,11.000
Selection Sort,7000,16.000
Selection Sort,8000,21.000
Selection Sort,9000,25.000
Selection Sort,10000,31.000
Selection Sort,20000,129.000
Selection Sort,30000,306.000
Selection Sort,40000,519.000
Selection Sort,50000,820.000
Selection Sort,60000,1.183.000
Selection Sort,70000,1.607.000
Selection Sort,80000,2.080.000
Selection Sort,90000,2.648.000
Selection Sort,100000,3.309.000
Selection Sort,200000,13.242.000
Selection Sort,300000,29.848.000
Selection Sort,400000,52.956.000
Selection Sort,500000,83.278.000
Selection Sort,600000,121.673.000
Selection Sort,700000,167.189.000
Selection Sort,800000,218.608.000
Selection Sort,900000,278.513.000
Selection Sort,1000000,347.020.000
Insertion Sort,10,0
Insertion Sort,20,0
Insertion Sort,30,0
Insertion Sort,40,0
Insertion Sort,50,0
